Date,Id,Players,Time,Seconds,Link
2015-03-30,mexre38z,Oginam,36m 59s,2219,https://www.speedrun.com/bloodborne/runs/mexre38z
2015-04-07,z1jwqprz,Irey_tv,30m 09s,1809,https://www.speedrun.com/bloodborne/runs/z1jwqprz
2015-05-05,m7qr2xwz,kiyo,27m 45s,1665,https://www.speedrun.com/bloodborne/runs/m7qr2xwz
2015-05-23,zp47g9rz,Firepaw,26m 55s,1615,https://www.speedrun.com/bloodborne/runs/zp47g9rz
2015-05-29,z1jwqgrz,pr0Flo,26m 34s,1594,https://www.speedrun.com/bloodborne/runs/z1jwqgrz
2019-07-03,yoj1ldjm,Almaperian,21m 29s,1289,https://www.speedrun.com/bloodborne/runs/yoj1ldjm
2019-07-12,znrdj7ly,zPinkman,20m 42s,1242,https://www.speedrun.com/bloodborne/runs/znrdj7ly
2020-03-18,yd6kgjwz,Dplanet36,20m 33s,1233,https://www.speedrun.com/bloodborne/runs/yd6kgjwz
2020-03-19,m31e036z,Dplanet36,20m 24s,1224,https://www.speedrun.com/bloodborne/runs/m31e036z
2020-03-30,z05w2oom,Dplanet36,20m 14s,1214,https://www.speedrun.com/bloodborne/runs/z05w2oom
2020-04-10,y65p97jz,zPinkman,19m 54s,1194,https://www.speedrun.com/bloodborne/runs/y65p97jz
2020-09-21,me68319z,ImpactfulForest,19m 50s,1190,https://www.speedrun.com/bloodborne/runs/me68319z
2020-09-29,me6x148z,ImpactfulForest,19m 39s,1179,https://www.speedrun.com/bloodborne/runs/me6x148z
2021-01-31,yd90xgqz,ImpactfulForest,19m 36s,1176,https://www.speedrun.com/bloodborne/runs/yd90xgqz
2021-02-17,zgxpeknm,ImpactfulForest,19m 34s,1174,https://www.speedrun.com/bloodborne/runs/zgxpeknm
2021-03-13,yw0xl09m,ImpactfulForest,19m 29s,1169,https://www.speedrun.com/bloodborne/runs/yw0xl09m
2021-11-10,y69wg26y,ImpactfulForest,19m 20s,1160,https://www.speedrun.com/bloodborne/runs/y69wg26y
2021-11-15,mk5npn5m,ImpactfulForest,18m 52s,1132,https://www.speedrun.com/bloodborne/runs/mk5npn5m
2022-09-06,m7x6704y,Genso,18m 49s,1129,https://www.speedrun.com/bloodborne/runs/m7x6704y
